"","BBAS3 ","BBDC3 ","",""
"230","14.1","9.443","1.57467075365274","Fora"
"231","13.4","9.039","1.57467075365274","Fora"
"232","13.32","8.508","1.57467075365274","Fora"
"233","12.4289142387814","8.0016214202158","1.57467075365274","Fora"
"234","11.41","7.756","1.57467075365274","Fora"
"235","12.5","8.485","1.57467075365274","Fora"
"236","12.88","8.55","1.57467075365274","Fora"
"237","14.09","9.354","1.57467075365274","Fora"
"238","14.15","9.448","1.57467075365274","Fora"
"239","14.3","9.961","1.57467075365274","OpenLeft"
"240","14.3","9.49","1.57467075365274","OpenLeft"
"241","14.25","9.636","1.57467075365274","OpenLeft"
"242","14.3","9.664","1.57467075365274","OpenLeft"
"243","14.6","9.646","1.57467075365274","OpenLeft"
"244","15.75","9.636","1.57467075365274","OutLeft"
"245","17.17","9.824","1.57467075365274","OpenRight"
"246","16.95","9.824","1.57467075365274","OpenRight"
"247","16.3","9.777","1.57467075365274","OpenRight"
"248","15.6","9.589","1.57467075365274","OpenRight"
"249","15.65","9.73","1.57467075365274","OpenRight"
"250","14.9","9.528","1.57467075365274","OpenRight"
"251","15.65","9.848","1.57467075365274","OpenRight"
"252","15.25","10.012","1.57467075365274","OutRight"
"253","15.35","10.012","1.57467075365274","Fora"
"254","15.2","9.73","1.57467075365274","Fora"
"255","15.05","9.453","1.57467075365274","Fora"
"256","14","9.114","1.57467075365274","Fora"
"257","13.5938082883786","8.95573536622597","1.57467075365274","Fora"
"258","13.7672154583602","8.97592958813507","1.57467075365274","Fora"
"259","14","9.039","1.57467075365274","Fora"
"260","14","9.157","1.57467075365274","Fora"
"261","14.68","9.396","1.57467075365274","Fora"
"262","15.1005051008042","9.65053673641437","1.57467075365274","Fora"
"263","15.1641521565246","9.84279868066237","1.57467075365274","Fora"
"264","15","9.918","1.57467075365274","Fora"
"265","15.28","9.843","1.57467075365274","Fora"
"266","16.12","10.012","1.57467075365274","Fora"
"267","15.76","9.866","1.57467075365274","Fora"
"268","15.4","9.942","1.57467075365274","Fora"
"269","15.88","9.871","1.57467075365274","Fora"
"270","15.75","9.396","1.57467075365274","OpenRight"
"271","15.13","9.213","1.57467075365274","OpenRight"
"272","14.11","8.649","1.57467075365274","OpenRight"
"273","15","8.701","1.57467075365274","OpenRight"
"274","14.4","8.691","1.57467075365274","OpenRight"
"275","14.44","9.002","1.57467075365274","OpenRight"
"276","13.45","8.231","1.57467075365274","OpenRight"
"277","13.75","8.597","1.57467075365274","OpenRight"
"278","13.55","8.579","1.57467075365274","OpenRight"
"279","13.3","8.649","1.57467075365274","OutRight"
"280","14.11","8.579","1.57467075365274","Fora"
"281","14.35","8.546","1.57467075365274","Fora"
"282","14.71","8.748","1.57467075365274","Fora"
"283","14.15","8.555","1.57467075365274","Fora"
"284","14.2","8.555","1.57467075365274","Fora"
"285","13.76","8.409","1.57467075365274","Fora"
"286","14.18","8.381","1.57467075365274","Fora"
"287","13.96","8.494","1.57467075365274","Fora"
"288","14.4","8.748","1.57467075365274","Fora"
"289","14.58","8.889","1.57467075365274","Fora"
"290","14.3","8.922","1.57467075365274","Fora"
"291","14.14","8.823","1.57467075365274","Fora"
"292","14.33","8.945","1.57467075365274","Fora"
"293","13.95","8.837","1.57467075365274","Fora"
"294","14.23","8.814","1.57467075365274","Fora"
